lemmas,onerilen_konular
"['tane', 'alışveriş', 'hemen', 'limit', 'dol', 'birdaha', 'yenile', 'iste', 'illa', 'para', 'böyle', 'saçmalık', 'gör', 'kötü', 'kullan', 'hadi', 'kullan', 'iyi']","['alışveriş hemen', 'tane alışveriş', 'alışveriş', 'para böyle', 'kötü kullan']"
"['sun', 'hiçbir', 'özellik', 'çalış']","['sun hiçbir', 'hiçbir özellik', 'sun', 'hiçbir', 'özellik çalış']"
"['aycell', 'kadar', 'kötü', 'gör', 'puan', 'var', 'hediye', 'otomatikman', 'zaman', 'puan', 'sıfırla', 'hediye', 'yok', 'gerçekten', 'hata', 'düzel', 'gerek']","['sıfırla hediye', 'puan sıfırla', 'hediye otomatikman', 'hata düzel', 'gerçekten hata']"
"['puan', 'git', 'böyle', 'puan', 'geri']","['puan geri', 'puan git', 'böyle puan', 'git böyle', 'geri']"
"['numara', 'turkcell', 'tesit', 'para', 'koy', 'uzak', 'dur']","['turkcell tesit', 'koy uzak', 'tesit para', 'numara turkcell', 'uzak dur']"
"['telefon', 'sıfırla', 'tekrar', 'kurt', 'aynı', 'cihaz', 'giriş', 'rağmen', 'ayrı', 'cihaz', 'giriş', 'gün', 'ban', 'telefon', 'aynı', 'telefon', 'halbuki', 'cihaz', 'giriş', 'aynı', 'cihaz', 'müşteri', 'hizmet', 'ara', 'fakat', 'yardımcı', 'olamadılarbanka', 'yükle', 'böyle', 'problem', 'yaşa', 'sistem', 'kendi', 'cihaz', 'biri', 'sil', 'yeni', 'ekle', 'acil', 'çözüm', 'bekle', 'maalesef', 'bil', 'boşuna', 'bekle']","['telefon sıfırla', 'aynı telefon', 'telefon aynı', 'telefon halbuki', 'aynı cihaz']"
"['simkart', 'bloke', 'koy', 'başka', 'oparerorden', 'tekrar', 'aycell', 'parti', 'yok', 'sene', 'üye', 'rağmen', 'üye', 'değil', 'yaris', 'temsilci', 'bisekilde', 'ulailmiyi']","['rağmen üye', 'üye değil', 'üye rağmen', 'üye', 'temsilci bisekilde']"
"['wifi', 'kapa', 'iste', 'kapa', 'i̇nternet', 'bağlantı', 'yok', 'affet', 'i̇nternet', 'vahiy', 'çek', 'böyle', 'beklenti', 'var', 'üzgün', 'peygamber', 'değil', 'vahiy', ""i̇nternet'e"", 'eriş']","['wifi kapa', 'wifi', 'vahiy nternet', 'nternet vahiy', 'bağlantı yok']"
"['dur', 'yer', 'kimlik', 'doğrula', 'çık', 'kardeş', 'kaç', 'doğrula', 'adam', 'çalış', 'neyse', 'yarım', 'saat', 'uğraş', 'selfie', 'düzgün', 'çalış', 'nfc', 'aferin', 'böyle', 'kullan', 'kaybet', 'sür', 'siz', 'uğraşı']","['siz uğraşı', 'adam çalış', 'saat uğraş', 'çık kardeş', 'çalış neyse']"
"['veli', 'beyan', 'doğrula', 'ses', 'gönder', 'konu', 'ilgili', 'mail', 'hiçbir', 'şekil', 'düzgün', 'çözüm', 'sun', 'müşteri', 'hizmet', 'sil', 'tekrar', 'yükle', 'dalga', 'geç']","['mail', 'ilgili mail', 'mail hiçbir', 'ses gönder', 'müşteri hizmet']"
"['kimlik', 'doğrula', 'sıkıntı', 'uzun', 'zaman', 'var', 'yardımcı', 'içeri', 'para', 'kal', 'para', 'lazım', 'uss', 'gözük', 'yıldız']","['para lazım', 'içeri para', 'kal para', 'var yardımcı', 'lazım uss']"
"['google', 'olay', 'store', 'servis', 'tarih', 'fatura', 'yansitla', 'öde', 'isle', 'gerceklesmistir', 'böyle', 'işlem', 'yük', 'bile', 'degʻil']","['google olay', 'google', 'store servis', 'tarih fatura', 'store']"
"['böyle', 'saçma', 'güvenlik', 'prosedür', 'içeri', 'ayrı', 'cihaz', 'giriş', 'aycell', 'kapa', 'giriş', 'kardeş', 'telefon', 'değiş', 'sanat', 'saruca', 'iste', 'değiş', 'telefon', 'şifre', 'var', 'sen', 'müdahale', 'hesap', 'kapa', 'zaten', 'daha', 'kullan', 'ara', 'banka', 'bile', 'yok', 'böyle', 'güvenlik']","['telefon şifre', 'saçma güvenlik', 'cihaz giriş', 'güvenlik prosedür', 'böyle güvenlik']"
"['hesap', 'para', 'aktar', 'komisyon', 'öde', 'gerek', 'fast', 'banka', 'kart', 'aynı', 'biçim', 'indirim', 'komisyon', 'geri', 'vodafone', 'komisyon', 'öde', 'turkcell', 'fatura', 'öde', 'bile', 'komisyon', 'siz', 'öde', 'sistem', 'cacık']","['fatura öde', 'komisyon öde', 'para aktar', 'banka kart', 'öde gerek']"
"['diğer', 'telefon', 'soru', 'çalış', 'üst', 'model', 'telefon', 'geç', 'sürüm', 'eksik', 'hata', 'telefon', 'yazılım', 'yönlen', 'giriş', 'eski', 'telefon', 'sürüm', 'eski', 'rağmen']","['eski telefon', 'telefon sürüm', 'hata telefon', 'telefon yazılım', 'model telefon']"
"['gerçekten', 'müşteri', 'memnuniyet', 'yok', 'kadar', 'şifre', 'unut', 'altarafi', 'yenile', 'iste', 'müşteri', 'hizmet', 'ulaş', 'çalış', 'oda', 'kadar', 'iğrenç', 'durum']","['şifre unut', 'kadar şifre', 'müşteri hizmet', 'gerçekten müşteri', 'şifre']"
"['gözük', 'i̇ldiz', 'berbat', 'öte', 'para', 'fatura', 'yansı', 'özellik', 'aycell', 'kart', 'para', 'aktar', 'kart', 'bilgi', 'göster', 'kullan', 'tut', 'boşa', 'git', 'kart', 'işlem', 'durum', 'mail', 'ilet', 'herhangi', 'çözüm', 'sun', 'asla', 'kullan']","['kart işlem', 'aktar kart', 'kart bilgi', 'fatura yansı', 'git kart']"
"['berbat', 'iğrenç', 'limit', 'keşke', 'düzel']","['iğrenç limit', 'limit keşke', 'limit', 'berbat iğrenç', 'iğrenç']"
"['selam', 'saka', 'yillardir', 'siz', 'kullaniyom', 'başka', 'operatör', 'kullaniyom', 'vodafone', 'vodafonepay', 'limit', 'siz', 'sistem', 'gece', 'şimdi', 'algoritma', 'yapay', 'zeka', 'cozemiyom', 'master', 'hizmet', 'konuş', 'sadece', 'kopyala', 'lapis', 'finansal', 'sektör', 'öde', 'hat', 'kapa', 'öde', 'aliskanliklari', 'bazilari', 'negatif', 'sistem', 'lazım', 'gene']","['şimdi algoritma', 'siz sistem', 'sistem lazım', 'algoritma', 'vodafonepay']"
"['dene', 'kimlik', 'doğru', 'oku', 'selfie', 'doğru', 'çek', 'bura', 'koy', 'adam', 'dene', 'millet', 'işkence', 'çek', 'kadar', 'zor', 'para', 'eziyet', 'çek', 'tövbe', 'indirim', 'kullan', 'tavsiye', 'gerek', 'yok', 'siz', 'hayır', 'illaki', 'yer', 'gelir', 'rezalet', 'allah', 'aşk', 'yazılım', 'adam', 'sefer', 'çalış', 'sistem', 'gör', 'harca', 'zaman', 'yazık']","['selfie doğru', 'işkence çek', 'koy adam', 'gör harca', 'kimlik doğru']"
"['şifre', 'yenile', 'kadar', 'zor', 'saat', 'uğraş', 'kod', 'rağmen', 'değil', 'müşteri', 'hizmet', 'yönlen', 'gerçekten', 'saçmalık', 'kadar', 'kötü', 'yok', 'yıldız', 'bile', 'hak']","['şifre yenile', 'şifre', 'kod rağmen', 'değil müşteri', 'müşteri hizmet']"
"['gözük', 'yıldız', 'kart', 'para', 'aktarım', 'kimlik', 'tanı', 'işlem', 'başarı', 'çözüm', 'sağla']","['yıldız kart', 'kimlik tanı', 'aktarım kimlik', 'kart para', 'gözük yıldız']"
"['doğrula', 'bitir', 'fatura', 'araba', 'hal', 'yok', 'gerek']","['fatura araba', 'bitir fatura', 'yok gerek', 'fatura', 'araba hal']"
