tokens,onerilen_konular
"['telefonu', 'sıfırladım', 'uygulamayı', 'tekrar', 'kurdum', 'aynı', 'cihazdan', 'giriş', 'yapmama', 'rağmen', 'ayrı', 'cihazla', 'giriş', 'yaptınız', 'gün', 'ban', 'yedim', 'telefon', 'aynı', 'telefon', 'halbuki', 'cihazla', 'giriş', 'yapıldıysa', 'aynı', 'cihaz', 'müşteri', 'hizmetlerinde', 'aradım', 'fakat', 'yardımcı', 'olamadılarbanka', 'uygulamalarında', 'yüklüyoruz', 'böyle', 'bir', 'problem', 'yaşamıyoruz', 'sistem', 'kendisi', 'eslenmis', 'cihazlardan', 'birini', 'silip', 'yenisini', 'ekliyor', 'acil', 'çözüm', 'bekliyorum', 'malesef', 'biliyorum', 'boşuna', 'bekliyorum']","t, a, t, y, s"
"['wifi', 'kapatmamı', 'istiyor', 'kapatınca', 'i̇nternet', 'bağlantısı', 'yok', 'diyor', 'affedersiniz', 'ben', 'interneti', 'vahiyle', 'çekeyim', 'benden', 'böyle', 'bir', 'beklentiniz', 'varsa', 'üzgünüm', 'ben', 'peygamber', 'değilim', 'vahiy', 'i̇nternete', 'erişemem']","w, w, k, i, b"
"['durduk', 'yere', 'kimlik', 'doğrulama', 'işi', 'çıkardınız', 'kardeşim', 'kaç', 'doğrulayacağız', 'adam', 'çalışsa', 'neyse', 'yarım', 'saattir', 'uğraşıyorum', 'selfiesi', 'düzgün', 'çalışır', 'nfcsi', 'aferim', 'böyle', 'kullanıcı', 'kaybedin', 'elimi', 'sürmem', 'uygulamaya', 'sizinle', 'uğraşıcam']","u, s, i, ç, b"
"['yıldız', 'bile', 'fazla', 'böyle', 'gereksiz', 'bir', 'uygulama', 'turkcelle', 'özel', 'avantajı', 'yok']","u, t, a, t, y"
"['bence', 'bidaha', 'kart', 'çikarmayın', 'yeni', 'kart', 'aldım', 'giremiyorum', 'herşeyi', 'denedim', 'olmuyo', 'gidipte', 'almayın', 'papara', 'kapanmasaydı', 'keşke']","k, k, y, a, g"
"['google', 'play', 'store', 'servisinden', 'tarihinde', 'tllik', 'faturana', 'yansitla', 'odeme', 'isleminiz', 'gerceklesmistir', 'böyle', 'bir', 'işlem', 'yapmadım', 'uygulama', 'yüklü', 'bile', 'degʻil', 'demek']","g, p, g, y, f"
"['böyle', 'saçma', 'bir', 'güvenlik', 'prosedürü', 'olamaz', 'bir', 'içerisinde', 'ayrı', 'cihazdan', 'giriş', 'yaparsam', 'paycell', 'kapanıyor', 'bir', 'giriş', 'yapamıyorum', 'kardeşim', 'telefonumu', 'değiştirirken', 'sanamı', 'sorucam', 'istersem', 'değiştiririm', 'telefonumu', 'şifrem', 'var', 'benim', 'sen', 'buna', 'müdahale', 'edemezsin', 'hesabı', 'kapattım', 'zaten', 'bir', 'dahada', 'kullanmam', 'arada', 'bankalarda', 'bile', 'yok', 'böyle', 'güvenlik']","t, t, d, ş, ş"
"['gerçekten', 'müşteri', 'memnuniyeti', 'bir', 'yok', 'kadar', 'olmaz', 'şifre', 'unuttun', 'altarafi', 'yenilenmesini', 'istiyorum', 'müşteri', 'hizmetlerine', 'ulaşmaya', 'çalışıyorum', 'oda', 'olmuyor', 'kadar', 'iğrenç', 'bir', 'durum', 'olabilir']","ş, o, ş, i, m"
"['iyi', 'değil', 'müsteri', 'hizmetleri', 'yardımcı', 'olmuyorlar', 'aradığınız', 'zaman', 'sadece', 'bekletiyorlar']","o, y, s, b, a"
"['güvenli̇k', 'nedeni̇yle', 'oturumunuz', 'sonlandi̇ri̇lmi̇sti̇r', 'di̇yor', 'hesabi̇ma', 'ban', 'atmişlar', 'gi̇remi̇yorum', 'böyle', 'uygulama', 'görmedi̇n', 'hi̇c', 'bi̇r', 'yerde']","u, y, o, o, b"
"['beş', 'para', 'etmez', 'saçma', 'sapan', 'bir', 'uygulama', 'iki', 'saat', 'yüz', 'tanimliyamiyor', 'banka', 'işlemlerimi', 'beş', 'dakikada', 'hallediyorum', 'uygulama', 'yüz', 'taniyamiyor', 'böyle', 'bir', 'saçma', 'program', 'olmaz', 'olsun']","s, t, p, s, p"
"['hiçte', 'iyi', 'bir', 'oygulama', 'deyil', 'tafsiye', 'etmiyorum']","t, h, o, e, d"
