lemmas,lemmas_text,yapici_mi
"['şifre', 'yanlış', 'girdi', 'sene', 'gir']",şifre yanlış girdi sene gir,
"['saat', 'aycell', 'hesap', 'papara', 'hesap', 'para', 'gönder', 'çalış', 'türlü', 'rezalet']",saat aycell hesap papara hesap para gönder çalış türlü rezalet,
"['berbat', 'zula', 'alt', 'yükle', 'kriter', 'yerine', 'getir', 'fakat', 'kriter', 'yerine', 'getir', 'saçmala', 'sahtekar']",berbat zula alt yükle kriter yerine getir fakat kriter yerine getir saçmala sahtekar,
"['büyük', 'kazak', 'aysel', 'özen', 'boş', 'boş']",büyük kazak aysel özen boş boş,
"['saçma', 'sapan', 'hata', 'bulaş']",saçma sapan hata bulaş,
"['sanal', 'kart', 'olusmadi', 'işlem', 'geçersiz', 'yoz']",sanal kart olusmadi işlem geçersiz yoz,
"['puan', 'bile', 'hak']",puan bile hak,
"['oğul', 'bil', 'oyun', 'para', 'yatır', 'kısa', 'süre', 'taraf', 'iade', 'iste']",oğul bil oyun para yatır kısa süre taraf iade iste,
"['shell', 'puan', 'katıl', 'puan', 'yükle', 'sonra', 'kampanya', 'bin', 'kişi', 'fayda', 'yükle', 'puan', 'sen', 'kullanödemeleri', 'sonra', 'bin', 'kişi', 'dol', 'deyip', 'puan']",shell puan katıl puan yükle sonra kampanya bin kişi fayda yükle puan sen kullanödemeleri sonra bin kişi dol deyip puan,
"['hane', 'şifre', 'gir', 'alt', 'kutu', 'hane', 'şifre', 'sor', 'kafa', 'bul', 'yok', 'yanlış', 'oku', 'hesap', 'bloke']",hane şifre gir alt kutu hane şifre sor kafa bul yok yanlış oku hesap bloke,
"['puan', 'tekrar', 'geri', 'git']",puan tekrar geri git,
"['bomboş', 'öner']",bomboş öner,
"['boş', 'hiçbir', 'şekil', 'i̇nternet', 'salla', 'topla', 'var', 'puan', 'hiçbir', 'yara', 'kesinlikle', 'boş', 'yükle', 'yükle', 'yükle']",boş hiçbir şekil i̇nternet salla topla var puan hiçbir yara kesinlikle boş yükle yükle yükle,
"['aycell', 'salla', 'topla', 'bile', 'şaka']",aycell salla topla bile şaka,
"['para', 'gönder', 'para', 'yat', 'para', 'iade', 'para', 'rezil']",para gönder para yat para iade para rezil,
"['kankaymis', 'haracami', 'bagladiniz', 'yükle', 'kurum', 'para', 'kes', 'sil', 'yet']",kankaymis haracami bagladiniz yükle kurum para kes sil yet,
"['boş', 'tavsiye']",boş tavsiye,
"['iki', 'çık']",iki çık,
"['saçma', 'hane', 'şifre', 'gir', 'şifre', 'unut', 'mail', 'hane', 'şifre', 'gir', 'uğraş', 'uğraş', 'yok', 'arkadaş', 'saçma', 'sapan', 'birey']",saçma hane şifre gir şifre unut mail hane şifre gir uğraş uğraş yok arkadaş saçma sapan birey,
"['زبالة', 'بكل', 'معنى', 'الكلمة']",زبالة بكل معنى الكلمة,
"['para', 'yükle', 'zaman', 'para', 'hesap', 'geç', 'uzun', 'sür']",para yükle zaman para hesap geç uzun sür,
"['kötü', 'papara', 'bin', 'kat', 'iyi']",kötü papara bin kat iyi,
"['zor', 'kullan', 'bile', 'kart', 'parça', 'banka', 'doğrula', 'kadar', 'saçma', 'yok', 'tavsiye']",zor kullan bile kart parça banka doğrula kadar saçma yok tavsiye,
"['puan', 'kolay']",puan kolay,
"['aycell', 'çalış']",aycell çalış,
"['berbat', 'faril', 'para', 'çocuk', 'oyncag', 'sakin', 'bulasmayin']",berbat faril para çocuk oyncag sakin bulasmayin,
"['önce', 'puan', 'aycell', 'yeter', 'kadar', 'puan', 'diğer', 'alım', 'çevir', 'fakat', 'iki', 'defa', 'puan', 'kullan', 'hal', 'sistem', 'gözük', 'sistem', 'canlı', 'dur', 'şikayet', 'iki', 'defa', 'çözüm', 'merkez', 'celil', 'sonra', 'başka', 'arkadaş', 'dönüş', 'türlü', 'kafa', 'çalış', 'konu', 'uzman', 'söyle', 'şekil', 'bile', 'lira', 'kupon', 'biz', 'yok']",önce puan aycell yeter kadar puan diğer alım çevir fakat iki defa puan kullan hal sistem gözük sistem canlı dur şikayet iki defa çözüm merkez celil sonra başka arkadaş dönüş türlü kafa çalış konu uzman söyle şekil bile lira kupon biz yok,
['verso'],verso,
"['kadar', 'kötü', 'sanal', 'kart', 'fikir', 'güzel', 'fakat', 'fatura', 'öde', 'başka', 'işlem', 'boşuna', 'para', 'git', 'kadar']",kadar kötü sanal kart fikir güzel fakat fatura öde başka işlem boşuna para git kadar,
"['puan', 'artık', 'yüksel']",puan artık yüksel,
"['siz', 'sev', 'kullan', 'siz', 'yakış', 'kart', 'kes', 'sonra', 'fon', 'artık', 'başka', 'kart', 'kullan', 'aycell', 'puan', 'kadar', 'saçma']",siz sev kullan siz yakış kart kes sonra fon artık başka kart kullan aycell puan kadar saçma,
"['kullan', 'hal', 'gün', 'ara', 'güncelle', 'iste', 'giriş', 'yağ', 'güncelle', 'indirilemiyorkısaca', 'para', 'öde', 'sıkıntı', 'çek', 'iste', 'kullan']",kullan hal gün ara güncelle iste giriş yağ güncelle indirilemiyorkısaca para öde sıkıntı çek iste kullan,
"['çalış', 'zaman', 'var']",çalış zaman var,
"['yaş', 'altı', 'yatırım']",yaş altı yatırım,
"['yara', 'sürekli', 'sonra', 'dene', 'uyarisiyla', 'karşılaş', 'yükle', 'sil']",yara sürekli sonra dene uyarisiyla karşılaş yükle sil,
"['gedik', 'elektrik', 'yatramiyorum', 'sistem', 'cikmiyo']",gedik elektrik yatramiyorum sistem cikmiyo,
"['keşke', 'giriş', 'lanet', 'yüz', 'mobil', 'öde']",keşke giriş lanet yüz mobil öde,
"['berbat', 'yıldız', 'bile']",berbat yıldız bile,
"['rezalet', 'transfer']",rezalet transfer,
"['aynı', 'sorun', 'hala', 'var', 'güncel', 'getir', 'iyi', 'bide', 'i̇nternet', 'paket', 'harca', 'kaldır']",aynı sorun hala var güncel getir iyi bide i̇nternet paket harca kaldır,
"['hesap', 'kalan', 'var', 'türlü', 'çek', 'para', 'mil', 'piyango', 'site', 'işlem', 'ücret', 'kart', 'değil', 'kart', 'aktar', 'bakiye', 'çalış', 'turkcell', 'düpedüz', 'resmi', 'belge', 'dolandırıcı', 'tahatdüt', 'bit', 'hat', 'iptal', 'yıl', 'beri', 'aynı', 'numara', 'hat', 'kullan', 'iptal', 'artık', 'zaman', 'para', 'öde', 'tahatdüt', 'bit', 'kadar', 'kurtar', 'siz']",hesap kalan var türlü çek para mil piyango site işlem ücret kart değil kart aktar bakiye çalış turkcell düpedüz resmi belge dolandırıcı tahatdüt bit hat iptal yıl beri aynı numara hat kullan iptal artık zaman para öde tahatdüt bit kadar kurtar siz,
"['şifre', 'unut', 'eposta', 'adres', 'yeni', 'şifre', 'gönder', 'gönder', 'yardımcı', 'olumurmusunuz']",şifre unut eposta adres yeni şifre gönder gönder yardımcı olumurmusunuz,
"['can', 'cehennem', 'itibar', 'i̇stanbul', 'kart', 'izin', 'bilgi', 'dış', 'toplam', 'lira', 'yükle', 'müşteri', 'hizmet', 'ara', 'geri', 'öde', 'imkan', 'söyle', 'müşteri', 'hak', 'savun', 'yol', 'göster', 'bak', 'mesaj', 'gör', 'geri', 'dön', 'hak', 'öde']",can cehennem itibar i̇stanbul kart izin bilgi dış toplam lira yükle müşteri hizmet ara geri öde imkan söyle müşteri hak savun yol göster bak mesaj gör geri dön hak öde,
"['i̇nternet', 'paha']",i̇nternet paha,
"['puan', 'birik', 'google', 'olay', 'kupon', 'şimdi', 'puan', 'sadece', 'i̇nternet', 'görün', 'kaldır', 'kupon']",puan birik google olay kupon şimdi puan sadece i̇nternet görün kaldır kupon,
['gir'],gir,
"['yükle', 'limit', 'koy', 'işlem', 'ücret', 'koy']",yükle limit koy işlem ücret koy,
"['posta', 'dogrulamasi', 'dur', 'eposta', 'adres', 'doğrula', 'filan']",posta dogrulamasi dur eposta adres doğrula filan,
"['para', 'yatır', 'sorun', 'bulasmayin', 'ayrıca', 'yorum', 'sil']",para yatır sorun bulasmayin ayrıca yorum sil,
"['hafta', 'salla', 'kazan', 'puan', 'hafta', 'aynı', 'insan', 'değişik', 'puan', 'fazla', 'gerekli']",hafta salla kazan puan hafta aynı insan değişik puan fazla gerekli,
"['kere', 'aycell', 'zorba']",kere aycell zorba,
"['link', 'olay', 'haber', 'para', 'çek', 'turkcell', 'yakismiyan', 'durum']",link olay haber para çek turkcell yakismiyan durum,
"['sürekli', 'kapa', 'halt', 'yara', 'yok']",sürekli kapa halt yara yok,
"['tur', 'telekom']",tur telekom,
"['lira', 'yaklaşık', 'kuruş', 'ney', 'zaman', 'kullan', 'komisyon', 'çözüm', 'bul', 'aycell', 'bırak']",lira yaklaşık kuruş ney zaman kullan komisyon çözüm bul aycell bırak,
"['böyle', 'aycell', 'heaabima', 'para', 'ilan', 'ima', 'transfer', 'iste', 'para', 'hesap', 'dik', 'banka', 'hesap']",böyle aycell heaabima para ilan ima transfer iste para hesap dik banka hesap,
"['aycell', 'tat', 'tuz', 'kaç']",aycell tat tuz kaç,
"['giriş', 'yine', 'giriş', 'posta', 'şifre', 'deyiş', 'diş', 'tik', 'posta', 'saçma', 'saban', 'yabmayin', 'arkadaş']",giriş yine giriş posta şifre deyiş diş tik posta saçma saban yabmayin arkadaş,
"['puanlarimi', 'kullan']",puanlarimi kullan,
"['hayat', 'kadar', 'saçma', 'gör', 'şifre', 'unut', 'şifre', 'yeni', 'saçmalık']",hayat kadar saçma gör şifre unut şifre yeni saçmalık,
