lemmas,onerilen_konular
"['aycell', 'pismanliktir', 'hesabi', 'bloke', 'koy', 'gün', 'bekle', 'uzak', 'dur']","['gün bekle', 'bekle uzak', 'uzak dur', 'koy gün', 'bekle']"
"['kredi', 'kart', 'kıymet', 'maden', 'alisverisi', 'yaptimherhangi', 'güvenlik', 'ihlal', 'yapmadigim', 'hal', 'güvenlik', 'bahane', 'herhangi', 'aciklama', 'sanal', 'kart', 'bloke', 'kon', 'saat', 'çok', 'astik', 'hal', 'herhangi', 'geri', 'bonus', 'yapilmadi', 'kar', 'dun', 'mağdur', 'para', 'bloke', 'koy', 'sonra', 'saat', 'bonus', 'yapilmadigerekli', 'merci', 'şikayet', 'bulunacagim', 'aycell', 'dolayı', 'yakin', 'zaman', 'tane', 'turkcell', 'hatti', 'superonline', ""i̇nternet'imi"", 'iptal']","['kredi kart', 'kart kıymet', 'yaptimherhangi güvenlik', 'güvenlik ihlal', 'güvenlik bahane']"
"['işlem', 'gerçek', 'hata', 'turkcell', 'hat', 'fatura', 'değil', 'fatura', 'lazım']","['değil fatura', 'fatura değil', 'fatura lazım', 'fatura', 'gerçek hata']"
"['berbat', 'salla', 'topla', 'puan', 'iki', 'gün', 'sonra', 'geri', 'arkadaş', 'davet', 'puan', 'sefer', 'puan', 'kısıtla', 'koy']","['puan kısıtla', 'puan iki', 'sefer puan', 'puan sefer', 'davet puan']"
"['böyle', 'sorum', 'müşteri', 'destek', 'gör', 'şifre', 'unut', 'rağmen', 'şifre', 'sıfırla', 'link', 'iste', 'adam', 'hafta', 'incele', 'beş', 'para', 'sakın']","['şifre sıfırla', 'rağmen şifre', 'şifre unut', 'gör şifre', 'şifre']"
"['paysell', 'uygulamacilari', 'sabah', 'dördün', 'yaptimda', 'kusur', 'fatura', 'yansidi', 'kaldirali', 'gir', 'gaspet', 'giremiyorumda', 'yok', 'yuztanima', 'yok', 'selfie', 'kafa', 'biri', 'resim', 'sahte', 'kimlik', 'verilmiycegini', 'bilic', 'sabah', 'sabah', 'uğraştiğim', 'seyebak', 'lütfen', 'kontrol', 'biz', 'böyle', 'dolambaç', 'yol', 'göster', 'bez']","['sabah uğraştiğim', 'bilic sabah', 'resim sahte', 'sahte kimlik', 'sabah dördün']"
"['berbat', 'kart', 'sadece', 'işlem', 'kart', 'doğrul', 'çalış', 'hata', 'dur', 'yetkili', 'seslen', 'ilgili', 'sorun', 'var', 'bak', 'öner', 'kart', 'düşün', 'hiçbir', 'şekil', 'öner']","['işlem kart', 'kart doğrul', 'kart düşün', 'kart sadece', 'öner kart']"
"['hesap', 'gir', 'güvenlik', 'neden', 'dur', 'sorun', 'çöz', 'gerek']","['güvenlik neden', 'güvenlik', 'gir güvenlik', 'sorun çöz', 'hesap gir']"
"['kardeş', 'şifre', 'unut', 'ara', 'lazım', 'güven', 'kor', 'açı', 'çöp', 'mesela', 'hesap', 'yok', 'kaydol', 'bas', 'bile', 'giriş', 'sok', 'ayrı', 'düzel']","['şifre unut', 'kardeş şifre', 'şifre', 'mesela hesap', 'güven kor']"
"['iyi', 'değil', 'tavsiye', 'doğrul', 'çalış', 'dene', 'kullan']","['tavsiye doğrul', 'çalış dene', 'dene kullan', 'tavsiye', 'doğrul çalış']"
"['normal', 'banka', 'yetki', 'var', 'fakat', 'işle', 'konu', 'hindistan', 'sokak', 'lezzet', 'önce', 'hesap', 'var', 'tekrar', 'yüklem', 'karar', 'kimlik', 'doğrula', 'selfie', 'aşama', 'hata', 'kadar', 'salak', 'düşün', 'merak', 'insan', 'resmen', 'dalga', 'geç', 'kullan', 'abi', 'böyle', 'şirket', 'para', 'kazan', 'kendi', 'ülke', 'bile', 'böyle', 'insan', 'yüz', 'geç', 'sınıf', 'insan', 'yerine', 'kon']","['banka yetki', 'banka', 'normal banka', 'şirket para', 'hesap var']"
"['sene', 'önce', 'futbol', 'lisans', 'çıkar', 'foto', 'kimlik', 'paycele', 'kayıt', 'iste', 'ancak', 'herşey', 'fotoğraf', 'çek', 'kısım', 'kimlik', 'foto', 'eslestiremiyo', 'rezalet']","['foto kimlik', 'kimlik foto', 'kimlik paycele', 'fotoğraf çek', 'fotoğraf']"
"['böyle', 'saçma', 'hat', 'eski', 'sahip', 'isim', 'yaz', 'talep', 'oluş', 'rağmen', 'hafta', 'güncelle', 'hiçbir', 'rezil']","['rağmen hafta', 'hafta güncelle', 'hafta', 'yaz talep', 'güncelle hiçbir']"
"['ilk', 'baş', 'mağaza', 'kart', 'ora', 'işlem', 'kart', 'kaydol', 'sekil', 'çık', 'kart', 'bura', 'kadar', 'problem', 'yok', 'sonra', 'bilgi', 'gir', 'başla', 'fakat', 'asla', 'tamamla', 'işlem', 'başarı', 'düzel', 'bekle', 'bugün', 'giriş', 'böyle', 'acilen', 'düzel', 'iste', 'kart', 'kullan', 'sorun', 'karşılaş']","['işlem kart', 'mağaza kart', 'kart kaydol', 'kart kullan', 'çık kart']"
"['yine', 'turkcell', 'kadar', 'beraat', 'yazma', 'gerek', 'duy']","['kadar beraat', 'beraat yazma', 'turkcell kadar', 'yine turkcell', 'beraat']"
"['şart', 'kız', 'hoş', 'git', 'veri', 'işle', 'çerez', 'yaz', 'defalarca', 'sil', 'ugrasamki', 'ora', 'bura', 'yazma', 'ara', 'şart', 'belirle', 'biz', 'muhtaç', 'siz', 'biz', 'ihtiyaç', 'var', 'kural', 'koy', 'veri', 'topla', 'paylaş', 'yine', 'hoş', 'git', 'kapa', 'hesap', 'kış', 'bile', 'kullan', 'haziran', 'sonra', 'yeterince', 'icra', 'siz', 'bilgi', 'biz', 'sat', 'hayat', 'pay', 'siz', 'isim', 'yaz', 'ses', 'gönder', 'kapa', 'hesap']","['belirle biz', 'kullan haziran', 'ihtiyaç var', 'biz muhtaç', 'siz bilgi']"
"['keşke', 'telefon', 'numara', 'yerine', 'posta', 'iste', 'numara', 'baba', 'üst', 'hesap', 'lütfen', 'düzel']","['telefon numara', 'keşke telefon', 'numara baba', 'telefon', 'yerine posta']"
"['böyle', 'saçma', 'güvenlik', 'prosedür', 'içeri', 'ayrı', 'cihaz', 'giriş', 'aycell', 'kapa', 'giriş', 'kardeş', 'telefon', 'değiş', 'sanat', 'saruca', 'iste', 'değiş', 'telefon', 'şifre', 'var', 'sen', 'müdahale', 'hesap', 'kapa', 'zaten', 'daha', 'kullan', 'ara', 'banka', 'bile', 'yok', 'böyle', 'güvenlik']","['telefon şifre', 'saçma güvenlik', 'cihaz giriş', 'güvenlik prosedür', 'böyle güvenlik']"
"['hesap', 'güvenlik', 'sebep', 'oturum', 'sonladrmistr', 'rezil', 'kendi', 'para', 'rezil', 'böyle', 'yok', 'muhatap', 'bile', 'bul']","['hesap güvenlik', 'güvenlik sebep', 'kendi para', 'hesap', 'güvenlik']"
"['sev', 'kullan', 'fakat', 'puan', 'karşılık', 'gün', 'düşük', 'herşey', 'zam', 'puan', 'karşılık', 'art', 'puan', 'iyi', 'kal', 'olay', 'store', 'sakız', 'para', 'artık', 'anlam', 'puan', 'birik']","['para artık', 'fakat puan', 'sakız para', 'anlam puan', 'karşılık gün']"
"['böyle', 'kimlik', 'oku', 'selfie', 'ekran', 'izin', 'birdaha', 'izin', 'birdaha', 'izin', 'sonra', 'fed', 'onaylıyamiyoruz']","['selfie ekran', 'oku selfie', 'selfie', 'kimlik oku', 'ekran izin']"
"['kimlik', 'doğrula', 'selfie', 'aşama', 'sonra', 'biraz', 'bekle', 'sonra', 'hata', 'yaş', 'küçük', 'veli', 'onay', 'kimlik', 'doğrula', 'gerek']","['onay kimlik', 'kimlik doğrula', 'doğrula selfie', 'selfie aşama', 'selfie']"
"['hesap', 'şifre', 'unut', 'şifre', 'değiş', 'illa', 'müşteri', 'temsilci', 'konuş', 'hallet', 'gerek', 'kadar', 'saçma', 'yok', 'teknoloji', 'çağ', 'şifre', 'değişik', 'ses', 'eposta', 'değiş', 'gerek', 'kullan', 'şifre', 'unut', 'değiş', 'kadar', 'zahmet', 'çek', 'hizmet', 'kötü', 'söyle', 'şifre', 'unut', 'değiş', 'kadar', 'zor', 'alternatif', 'firma', 'konu', 'iyi']","['şifre değişik', 'şifre değiş', 'şifre unut', 'unut şifre', 'kullan şifre']"
"['hesap', 'bakiye', 'var', 'hata', 'kaybakli', 'para', 'kullan', 'müşteri', 'hizmet', 'görüş', 'ikametgah', 'belge', 'birlikte', 'türkcell', 'bayi', 'git', 'kendi', 'paramin', 'kullan', 'i̇çi̇n', 'ikametgah', 'adresi̇mi̇', 'çi̇kari̇p', 'bayi̇yemi̇', 'git', 'gerek']","['kullan müşteri', 'müşteri', 'ikametgah belge', 'müşteri hizmet', 'hesap bakiye']"
"['eskiden', 'kredi', 'kart', 'öde', 'artık', 'oda', 'kullan', 'aycell', 'kart', 'havale', 'var', 'kart', 'borç', 'öde', 'var', 'böyle', 'aycell', 'öde', 'fakat', 'böyle', 'saçmalık', 'gör', 'yıldız', 'bile', 'hak', 'turkcell', 'durum', 'düzel', 'yok', 'komple', 'bırak', 'siz', 'nokta']","['kart borç', 'kredi kart', 'eskiden kredi', 'öde fakat', 'borç öde']"
"['özgür', 'halife', 'ömer', 'orman', 'gencebay', 'hayrünisa', 'unut', 'mümkün', 'alarm', 'zaman', 'i̇nternet', 'site', 'sancak', 'unut', 'sev', 'bil', 'böyle', 'çark', 'zaman', 'açıkla']","['mümkün alarm', 'özgür halife', 'alarm zaman', 'unut mümkün', 'gencebay hayrünisa']"
"['benzin', 'akaryakıt', 'yüz', 'önce', 'kazan', 'akaryakıt', 'şirket', 'kafa', 'göre', 'sil', 'zaman', 'belli', 'firma', 'üye', 'işyeri', 'lazım', 'kurumsalligi', 'açıklayıcıligi', 'öğret', 'gerek', 'san', 'koskoca', 'turkcell', 'şirket']","['akaryakıt şirket', 'lazım kurumsalligi', 'kurumsalligi açıklayıcıligi', 'üye işyeri', 'işyeri lazım']"
"['hiçbir', 'yer', 'para', 'yükle', 'şok', 'turkcell', 'bayi', 'yükle', 'harçlık', 'falan', 'kullan', 'iyi']","['şok turkcell', 'para yükle', 'turkcell', 'yükle harçlık', 'yükle şok']"
"['içeri', 'sürekli', 'güvenlik', 'neden', 'tekrar', 'giriş', 'gerek', 'deyip', 'kapa']","['güvenlik neden', 'sürekli güvenlik', 'güvenlik', 'deyip kapa', 'içeri sürekli']"
"['mail', 'şifre', 'yenile', 'bide', 'nbc', 'iste', 'zaman', 'kim', 'telefon', 'nbc', 'düzel', 'hakaret', 'iste', 'üst', 'vergi', 'düzel', 'bide', 'yıl', 'yukarı', 'dursundiye', 'güncelle', 'günah', 'kardeş', 'biraz', 'zaman', 'geç', 'sil']","['mail şifre', 'şifre yenile', 'dursundiye güncelle', 'telefon nbc', 'güncelle günah']"
"['fatura', 'yansı', 'limit', 'kaç', 'yenile']","['limit kaç', 'fatura yansı', 'yansı limit', 'limit', 'fatura']"
"['sadece', 'puan', 'gerek', 'yükle', 'bile', 'gerek', 'yok', 'arkadaş']","['gerek yok', 'sadece puan', 'yok arkadaş', 'sadece', 'puan gerek']"
"['böyle', 'devam', 'hata', 'bıktır', 'turkcell', 'bağ', 'kopar', 'milyon', 'para', 'kerem', 'bursinne', 'doğru', 'dürüst', 'uzman', 'teslim', 'yazık']","['hata bıktır', 'bıktır turkcell', 'turkcell', 'hata', 'teslim yazık']"
"['böyle', 'fatura', 'para', 'yansı', 'pis', 'herif', 'kabul', 'aysel', 'bil']","['böyle fatura', 'para yansı', 'fatura para', 'fatura', 'pis herif']"
"['yıldız', 'üste', 'gözük', 'böyle', 'bişi', 'gör', 'kart', 'iptal', 'aylık', 'kesin', 'çöz']","['yıldız üste', 'yıldız', 'kart iptal', 'iptal aylık', 'iptal']"
"['berbat', 'ilk', 'yurt', 'dış', 'transfer', 'sistem', 'hata', 'üst', 'para', 'bloke', 'koy']","['dış transfer', 'transfer sistem', 'transfer', 'berbat ilk', 'hata üst']"
"['dünya', 'gerek']","['dünya gerek', 'dünya', 'gerek']"
"['kimlik', 'dogrulamasini', 'gerek', 'goruntuyle', 'uyusturamiyor', 'bile', 'sonra', 'tekrar', 'deneyi̇ni̇z', 'i̇slemi̇ni̇zi̇', 'gerceklesti̇remi̇yoruz', 'yaris', 'cüzdan', 'kullanilabi̇lecrk', 'değil', 'geli̇sti̇ri̇lmesi̇', 'gerek']","['kimlik dogrulamasini', 'cüzdan kullanilabi', 'kimlik', 'gerek goruntuyle', 'yaris cüzdan']"
"['sürekli', 'şifre', 'iste', 'hiçbir', 'yara', 'yukmeye', 'gerek', 'yok']","['sürekli şifre', 'gerek yok', 'hiçbir yara', 'şifre iste', 'iste hiçbir']"
"['i̇nternet', 'paket', 'sadece', 'alın', 'gerçekten', 'berbat', 'sınırsız', 'hediye', 'iyi']","['sınırsız hediye', 'hediye iyi', 'hediye', 'nternet paket', 'paket sadece']"
"['özellik', 'şok', 'market', 'alışveriş', 'sürekli', 'sıkıntı', 'çıkar', 'program']","['şok market', 'özellik şok', 'market alışveriş', 'alışveriş sürekli', 'alışveriş']"
"['ilk', 'gayet', 'kullan', 'belir', 'gerek', 'uzun', 'süre', 'kullan', 'son', 'zaman', 'arayüz', 'kampanya', 'iyi', 'şekil', 'geliş', 'hatta', 'kampanya', 'yüz', 'fazla', 'kullan', 'yıldız', 'sebep', 'hediye', 'kısım', 'sadece', 'hak', 'var', 'puan', 'bazen', ""i̇nternet'in"", 'bit', 'puan', 'var', 'gorki', 'hak', 'bit', 'hak', 'kadar', 'puan', 'süre', 'bit', 'lütfen', 'hak', 'yad', 'iste', 'kadar']","['hatta kampanya', 'kampanya yüz', 'kampanya iyi', 'arayüz kampanya', 'kampanya']"
"['berbat', 'yıldız', 'dahi', 'hak', 'hesap', 'kere', 'miktar', 'para', 'çek', 'calışildı', 'aycell', 'müşteri', 'hizmet', 'numara', 'neyse', 'şikayet', 'ara', 'fakat', 'türlü', 'ulaş', 'üst', 'hesap', 'kendi', 'dahi', 'kapa', 'turkcell', 'şube', 'git', 'gerek', 'yad', 'iletişim', 'geç', 'kapa', 'gerek', 'hizmet']","['aycell müşteri', 'müşteri hizmet', 'para çek', 'müşteri', 'hesap kendi']"
"['böyle', 'rezalet', 'gör', 'gir', 'para', 'transfer', 'tabi', 'puan', 'desen', 'kendiliğinden', 'sil', 'puan', 'artık', 'kim', 'yet', 'artık', 'vodafone', 'geç', 'mantık']","['geç mantık', 'kendiliğinden sil', 'vodafone geç', 'puan artık', 'geç']"
"['turkcell', 'numara', 'zaten', 'kapa', 'aycell', 'şimdi', 'giriş', 'artık', 'numara', 'erişim', 'yok', 'doğrula', 'entegre', 'aycell', 'hesap', 'şimdi', 'hiçbir', 'şekil', 'eriş', 'sadece', 'deneme', 'hak', 'sun', 'aycell', 'hesap', 'don', 'eski', 'numara', 'artık', 'erişim', 'hesap', 'kurtar', 'uğraş', 'kadar', 'yeni', 'aycell', 'hesap', 'fast', 'işlem', 'kimlik', 'doğrula', 'kimlik', 'siz', 'ait', 'doğrula', 'hata', 'kötü']","['numara erişim', 'turkcell numara', 'hesap şimdi', 'erişim hesap', 'aycell hesap']"
"['yeni', 'şifre', 'gir', 'devam', 'seçenek', 'aktif', 'hal', 'saçma', 'wodofonda', 'böyle', 'saçmalık', 'yok']","['wodofonda böyle', 'yeni şifre', 'saçma wodofonda', 'şifre gir', 'wodofonda']"
"['berbat', 'sor', 'cevap', 'yok', 'şey', 'komisyon', 'kes', 'aycell', 'elektronik', 'öde', 'var', 'banka', 'iyi', 'fatura', 'yansı', 'özellik', 'var', 'komisyon', 'kes', 'artı', 'aidat', 'kart', 'ifade', 'yok', 'bunca', 'zaman', 'fatura', 'yansı', 'özellik', 'kullan', 'herşey', 'toplam', 'para', 'kes', 'fazla', 'para', 'öde', 'turkcell', 'keşke', 'aycell', 'turkcell', 'hat', 'kullan', 'kimse', 'tavsiye']","['fatura yansı', 'iyi fatura', 'para öde', 'fazla para', 'banka iyi']"
"['birşekilde', 'para', 'aktarım', 'sağla', 'uğraş', 'mevcut', 'yorum', 'bak', 'eksik', 'mevcut', 'hemen', 'hemen', 'kullan', 'memnun', 'değil', 'dahil', 'yıldız', 'yukarı', 'gözük']","['bak eksik', 'yıldız yukarı', 'eksik mevcut', 'birşekilde para', 'eksik']"
"['kimlik', 'doğrula', 'işlem', 'var', 'türlü', 'hallet', 'bütün', 'şart', 'sağla', 'rağmen', 'üstelik', 'gerçekten', 'kot', 'acilen', 'düzel', 'hal']","['kimlik doğrula', 'kimlik', 'doğrula işlem', 'rağmen üstelik', 'şart sağla']"
"['sakın', 'kullan', 'kullan', 'adam', 'bil', 'insan', 'aptal', 'yerine', 'koy', 'şifre', 'unut', 'gir', 'imkan', 'yazık', 'gerçekten', 'yazık']","['şifre unut', 'koy şifre', 'insan aptal', 'aptal yerine', 'şifre']"
"['beş', 'para', 'şifre', 'süre', 'dol', 'bil', 'kadar', 'rakam', 'var', 'hepsi', 'gir', 'yok', 'art', 'yok', 'birbiri', 'tamamla', 'türlü', 'şifre', 'psikoloji', 'boz', 'banka', 'şifre', 'böyle', 'birşey', 'karşılaş', 'tamamen', 'kaldır', 'daha', 'asla', 'indirmiyecem', 'şifre', 'oluşturamıtosun', 'böyle', 'saçmalık', 'var', 'inan', 'baş', 'ağrı', 'gir', 'profesör', 'değilimki', 'yok', 'ardışık', 'bil', 'başlı', 'baş', 'saçmalık']","['türlü şifre', 'şifre oluşturamıtosun', 'şifre psikoloji', 'para şifre', 'indirmiyecem şifre']"
"['fatura', 'yansı', 'alt', 'haber', 'fatura', 'para', 'yaz', 'yarar', 'yön', 'yok', 'sadece', 'kazık', 'kapa', 'çalış', 'müşteri', 'hizmet', 'ara', 'ara', 'böyle', 'sorum', 'gör']","['fatura yansı', 'haber fatura', 'fatura para', 'fatura', 'çalış müşteri']"
"['kimlik', 'doğrula', 'yapilmiyo', 'yardımcı', 'para', 'içeri', 'kal', 'böyle']","['kimlik doğrula', 'para içeri', 'yardımcı para', 'kimlik', 'doğrula yapilmiyo']"
