Yorum,Puan,Tarih,Yıl,Ay
uygulamada sorun var sanal kart oluşmuyor hata veriyor bilginize,3,2025-12-10 19:02:20,2025,12
basit bir iban açmak icin edevletten adres icin dogrulama bile istiolar gereksiz birşey sadece kimlik selfie yetmiomu neyinize konumum,1,2025-12-10 17:59:13,2025,12
hesabımda 120tlm kaldı ve hesabım sırf veli onayı yapmadığım icin gozukmuyor 17 yaşındayım kendi tc bilgilerim girilik sırf veli onayli olmadigi icin kart gozukmuyor uygulamada kartimda kirildigi icin bilgiler yok uygulama da kaldirdi veli onayi olmadigi icin musteri hizmetlerini aradim yardimci olunmadi bilgiler gozumuyo kart gozukmuyo cok sacma,1,2025-12-10 17:41:49,2025,12
uygulama yeni indirdim ama onaylama olmiyor çok denedim hiç olmadı kimlik ön yüzüne kullanın diyor yapyorum ama hiç olmadı 1 saat boyunca deniyorum,2,2025-12-10 14:19:49,2025,12
Hesap kesim tarihinde ayın 10 nunda Gece 12 den sonra uygulama calısmıyor.Traji Komik bur durum.....,3,2025-12-10 01:15:03,2025,12
Uygulama surekli atıyo acılmıyo,2,2025-12-10 00:38:56,2025,12
paycell den hiç memnun değilim kalite de 0 çözüm müşteri memnuniyeti 0 o yüzden Turkcell den başka gsm e geçicem fatura bittikten sonra.Turkcell in uygulamalarını kullanmayacağım.,1,2025-12-10 00:20:45,2025,12
Kartımdan para yükliyecem diyer karta yüklenmiyor yardım edin lütfen,4,2025-12-09 22:18:16,2025,12
kayıtlı faturaların düzenlemek için adı değiştir bölümde klavye açılmiyor,3,2025-12-09 20:39:12,2025,12
hayatımda gördüğüm en kötü kartlardan birisi hesabımı doğrulamayı çalışıyorum hata verip verip duruyor uygulamada teknik bir sorun var diyip duruyor önceki hesabım doğrulanmış hesaptı ancak ne para yatırabiliyorum nede para çekebiliyorum sadece sanal kart kullanabiliyorum para transferi yapıcam işleminize onay veremedik diyor hayatımda bu kadar iğrenç bir kart görmedim,1,2025-12-09 20:00:11,2025,12
yüz tanımayı yapana madalya veriyorlar hiçbir türlü calismadi,1,2025-12-09 18:03:49,2025,12
aslinda mantık ama 3ayda bir komisyon alınması yüzünden kapattim,2,2025-12-09 17:20:38,2025,12
Aylık 20 TL kart ücreti kesiliyor. Bankalar dahi kesmezken paycell kendinde bu hakkı buluyor. Aman dikkat.,1,2025-12-09 14:55:34,2025,12
Karta aktarırken çok para kesiyorlar vergi çok kimseye tavsiye etmiyorum kesinlikle resmen vergiyi bindirmişler düzeltilmeli,5,2025-12-09 02:31:32,2025,12
giriş yapılmıyo bile,1,2025-12-09 00:18:14,2025,12
1 Yıldızı bile hak etmiyor kimlik dogrulama yaparken ekran kaydetme istiyor izin verdigimde kimlik dogrulama kısmını sıfırlıyor sonrasında cok fazla deneme yaptınız diyerek hata veriyor yüz okumayı söylemek bile istemiyorum lutfen yüzünüzü uzaklastirin diyor ne kadar uzaklastirsamda algılamıyor sonrasında dogrulamada bir hata oluştu diyerek uygulamayi kapatıyor bu uygulamayı yapan kisilere kaç para verdiniz bilmiyorum ama galiba ucuza yapmışsınız,1,2025-12-08 22:40:57,2025,12
çok güzel bir uygulama,5,2025-12-08 20:01:08,2025,12
"Paycell uygulama oldukça güvenli ve çok rahat bir kullanım sunuyor, aynı zamanda sorun gidermede ivedi bir görüşmeyle ve çözümlerle olumlu sonuçlar alınıyor.ben çok memnun oldum teşekkürler Turkcell Paycell iyi çalışmalar.",5,2025-12-08 16:02:15,2025,12
kestiği paranin hatti hesabı yok devlet bile vergi yuklerken bu kadar geçirmiyor saçmalığa uzak durun,1,2025-12-08 13:16:27,2025,12
müşteri desteği rezalet hiç ilgilenmiyorlar. kart doğrulaması bozuk kartımın bütün bilgileri doğru ama yanlış diye hata veriyor daha yeni aldığım kartı ekliyemiyorum. ve bu 2. kart alışım oldu ikisindede aynı hatayı verdi.,1,2025-12-08 12:48:13,2025,12
paycell pismanliktir hesabiniza bloke koyulur gunlerce bekletilirsiniz uzak durun,1,2025-12-08 09:45:30,2025,12
kredi kartiyla kiymetli maden alisverisi yaptim.herhangi bir guvenlik ihlali yapmadigim halde guvenlik bahane edilerek herhangi bir aciklama yapilmadan aninda sanal kartima bloke konuldu.24 saati coktan astigi halde herhangi bir geri donus yapilmadi kac gundur magdur edildim paraya aninda bloke koyup sonrasinda neden saatlerce donus yapilmadi.gerekli mercilere sikayette bulunacagim paycellden dolayi en yakin zamanda 3 tane turkcell hattimi ve superonline internetimi iptal edecegim.,1,2025-12-07 21:31:37,2025,12
salla topladan kazandığım 2500 puan geldiği gibi yok oldu kullanamadım,1,2025-12-07 18:34:07,2025,12
ben fiziki kart ayrı Turkcell mağazasından aldım ama iban oluşturamıyorum ve bundan dolayı hesap doğrulaması istiyor kimliğimi okutuyorum NFC özelliği olmasına rağmen selfie çekiminden sonra hata veriyor nedenini anlamıyorum kartımı bu nedenle kullanamıyorum bu durumu bir an önce duzeltirseniz sevinirim,3,2025-12-07 14:50:53,2025,12
dolaptan alışveriş yapamıyorum kartınız sanal pos işlemlerine kapalıdır diyor,3,2025-12-07 10:33:15,2025,12
uygulama gayet güzel müşteri temsilcileri bir sorun olduğunda hızlıca geri dönüş yapıyor tek sorun doğrulama biraz zor kimliği algılaması çok uzun sürüyor,5,2025-12-05 22:04:55,2025,12
kuranıma boş bir uygulama indirme kardeşim .,1,2025-12-05 21:51:35,2025,12
bildirimin kapalı olduğu halde sessizde olduğu halde toplantı halindeyken rızam olmadığı halde Sonses bildirim gönderiyorsunuz yorumu dikkate almanızı istirham ederim,1,2025-12-05 19:06:35,2025,12
uygulamayı indirdim fakat açılmadı bu sorun çözülsün herkes görsün diye 5 yıldız verdim.,5,2025-12-05 15:52:16,2025,12
düzeldi,5,2025-12-05 11:53:57,2025,12
güncelleme de hata,1,2025-12-05 07:51:18,2025,12
harikulade,5,2025-12-05 04:50:41,2025,12
salla topla hata veriyor,1,2025-12-05 00:04:05,2025,12
"Yatırım menüsünü sıkı kullanan birisi olarak; Sadece altın gümüş platin değilde, bunun yanında çeşitli dövizlerinde olması gerekli bence.",5,2025-12-04 19:59:26,2025,12
İşleminizi gerçekleştiremiyoruz hatası alıyorum turkcelliyim hattım faturalı değil faturalı mı olması lazım?,5,2025-12-04 19:51:35,2025,12
Mükemmel,5,2025-12-04 13:07:34,2025,12
güzel,5,2025-12-04 11:06:34,2025,12
berbat bir uygulama salla topladan puan veriyor iki gün sonra geri alıyor arkadaşını davet et diyor ediyordun puan veriyor bu seferde puanlarına kısıtlama koyuyor,1,2025-12-03 22:33:39,2025,12
