Yorum,Puan,Tarih
uygulamada sorun var sanal kart oluşmuyor hata veriyor bilginize,3,2025-12-10 19:02:20
basit bir iban açmak icin edevletten adres icin dogrulama bile istiolar gereksiz birşey sadece kimlik selfie yetmiomu neyinize konumum,1,2025-12-10 17:59:13
hesabımda 120tlm kaldı ve hesabım sırf veli onayı yapmadığım icin gozukmuyor 17 yaşındayım kendi tc bilgilerim girilik sırf veli onayli olmadigi icin kart gozukmuyor uygulamada kartimda kirildigi icin bilgiler yok uygulama da kaldirdi veli onayi olmadigi icin musteri hizmetlerini aradim yardimci olunmadi bilgiler gozumuyo kart gozukmuyo cok sacma,1,2025-12-10 17:41:49
uygulama yeni indirdim ama onaylama olmiyor çok denedim hiç olmadı kimlik ön yüzüne kullanın diyor yapyorum ama hiç olmadı 1 saat boyunca deniyorum,2,2025-12-10 14:19:49
Hesap kesim tarihinde ayın 10 nunda Gece 12 den sonra uygulama calısmıyor.Traji Komik bur durum.....,3,2025-12-10 01:15:03
Uygulama surekli atıyo acılmıyo,2,2025-12-10 00:38:56
paycell den hiç memnun değilim kalite de 0 çözüm müşteri memnuniyeti 0 o yüzden Turkcell den başka gsm e geçicem fatura bittikten sonra.Turkcell in uygulamalarını kullanmayacağım.,1,2025-12-10 00:20:45
Kartımdan para yükliyecem diyer karta yüklenmiyor yardım edin lütfen,4,2025-12-09 22:18:16
kayıtlı faturaların düzenlemek için adı değiştir bölümde klavye açılmiyor,3,2025-12-09 20:39:12
hayatımda gördüğüm en kötü kartlardan birisi hesabımı doğrulamayı çalışıyorum hata verip verip duruyor uygulamada teknik bir sorun var diyip duruyor önceki hesabım doğrulanmış hesaptı ancak ne para yatırabiliyorum nede para çekebiliyorum sadece sanal kart kullanabiliyorum para transferi yapıcam işleminize onay veremedik diyor hayatımda bu kadar iğrenç bir kart görmedim,1,2025-12-09 20:00:11
yüz tanımayı yapana madalya veriyorlar hiçbir türlü calismadi,1,2025-12-09 18:03:49
aslinda mantık ama 3ayda bir komisyon alınması yüzünden kapattim,2,2025-12-09 17:20:38
Aylık 20 TL kart ücreti kesiliyor. Bankalar dahi kesmezken paycell kendinde bu hakkı buluyor. Aman dikkat.,1,2025-12-09 14:55:34
Karta aktarırken çok para kesiyorlar vergi çok kimseye tavsiye etmiyorum kesinlikle resmen vergiyi bindirmişler düzeltilmeli,5,2025-12-09 02:31:32
giriş yapılmıyo bile,1,2025-12-09 00:18:14
