lemmas,Puan,Tarih
"['sorun', 'var', 'sanal', 'kart', 'oluş', 'hata', 'bilgi']",3,2025-12-10 19:02:20
"['basit', 'ilan', 'devlet', 'adres', 'doğrula', 'bile', 'istiolar', 'gerek', 'sadece', 'kimlik', 'selfie', 'yetmiomu', 'ney', 'konum']",1,2025-12-10 17:59:13
"['hesap', 'kal', 'hesap', 'sırf', 'veli', 'onay', 'gozukmuyor', 'yaş', 'kendi', 'bilgi', 'gir', 'sırf', 'veli', 'onay', 'olmadigi', 'kart', 'gozukmuyor', 'kart', 'kirildigi', 'bilgi', 'yok', 'kalder', 'veli', 'onay', 'olmadigi', 'master', 'hizmet', 'ara', 'yardimci', 'bilgi', 'gozumuyo', 'kart', 'gozukmuyo', 'saçma']",1,2025-12-10 17:41:49
"['yeni', 'onayla', 'dene', 'kimlik', 'yüz', 'kullan', 'saat', 'boyunca', 'dene']",2,2025-12-10 14:19:49
"['hesap', 'kesim', 'tarih', 'gece', 'sonra', 'calısmıyortraji', 'komik', 'bur', 'durum']",3,2025-12-10 01:15:03
"['sürekli', 'acılmıyo']",2,2025-12-10 00:38:56
"['aycell', 'memnun', 'değil', 'kalite', 'çözüm', 'müşteri', 'memnuniyet', 'yüz', 'turkcell', 'başka', 'gsm', 'gezi', 'fatura', 'bit', 'sonraturkcell', 'kullan']",1,2025-12-10 00:20:45
"['kart', 'para', 'yükliyecem', 'kart', 'yükle', 'yardım', 'lütfen']",4,2025-12-09 22:18:16
"['kayıt', 'fatura', 'düzenle', 'değiş', 'bölüm', 'klavye']",3,2025-12-09 20:39:12
"['hayat', 'gör', 'kötü', 'kart', 'biri', 'hesap', 'doğrula', 'çalış', 'hata', 'dur', 'teknik', 'sorun', 'var', 'dur', 'önce', 'hesap', 'doğru', 'hesap', 'ancak', 'para', 'yatır', 'para', 'çek', 'sadece', 'sanal', 'kart', 'kullan', 'para', 'transfer', 'yapı', 'işlem', 'onay', 'hayat', 'kadar', 'iğrenç', 'kart', 'gör']",1,2025-12-09 20:00:11
"['yüz', 'tanı', 'madalya', 'hiçbir', 'türlü', 'calismadi']",1,2025-12-09 18:03:49
"['mantık', 'komisyon', 'alın', 'yüz', 'kapa']",2,2025-12-09 17:20:38
"['aylık', 'kart', 'ücret', 'kes', 'banka', 'dahi', 'kes', 'aycell', 'kendi', 'hak', 'bul', 'aman', 'dikkat']",1,2025-12-09 14:55:34
"['kart', 'aktar', 'para', 'kes', 'vergi', 'kimse', 'tavsiye', 'kesinlikle', 'resmen', 'vergi', 'bindir', 'düzel']",5,2025-12-09 02:31:32
"['giriş', 'bile']",1,2025-12-09 00:18:14
"['yıldız', 'bile', 'hak', 'kimlik', 'doğrula', 'ekran', 'kaydet', 'iste', 'izin', 'kimlik', 'doğrula', 'kısım', 'sıfırla', 'sonra', 'fazla', 'deneme', 'hata', 'yüz', 'oku', 'söyle', 'bile', 'iste', 'lütfen', 'yüz', 'uzaklastirin', 'kadar', 'uzaklastirsamda', 'algıla', 'sonra', 'doğrula', 'hata', 'oluş', 'kapa', 'kişi', 'kaç', 'para', 'bil', 'galiba', 'ucuz']",1,2025-12-08 22:40:57
['güzel'],5,2025-12-08 20:01:08
"['aycell', 'oldukça', 'güven', 'rahat', 'kullanım', 'sun', 'aynı', 'zaman', 'sorun', 'gider', 'ivedi', 'görüşme', 'çözüm', 'olumlu', 'sonuç', 'memnun', 'teşekkür', 'turkcell', 'aycell', 'iyi', 'çalış']",5,2025-12-08 16:02:15
"['kes', 'para', 'hatta', 'hesap', 'yok', 'devlet', 'bile', 'vergi', 'yükle', 'kadar', 'geçir', 'saçmalık', 'uzak', 'dur']",1,2025-12-08 13:16:27
"['müşteri', 'destek', 'rezalet', 'ilgilen', 'kart', 'doğrula', 'bozuk', 'kart', 'bütün', 'bilgi', 'doğru', 'yanlış', 'hata', 'yeni', 'kart', 'ekle', 'kart', 'ikisindede', 'aynı', 'hata']",1,2025-12-08 12:48:13
"['aycell', 'pismanliktir', 'hesabi', 'bloke', 'koy', 'gün', 'bekle', 'uzak', 'dur']",1,2025-12-08 09:45:30
"['kredi', 'kart', 'kıymet', 'maden', 'alisverisi', 'yaptimherhangi', 'güvenlik', 'ihlal', 'yapmadigim', 'hal', 'güvenlik', 'bahane', 'herhangi', 'aciklama', 'sanal', 'kart', 'bloke', 'kon', 'saat', 'çok', 'astik', 'hal', 'herhangi', 'geri', 'bonus', 'yapilmadi', 'kar', 'dun', 'mağdur', 'para', 'bloke', 'koy', 'sonra', 'saat', 'bonus', 'yapilmadigerekli', 'merci', 'şikayet', 'bulunacagim', 'aycell', 'dolayı', 'yakin', 'zaman', 'tane', 'turkcell', 'hatti', 'superonline', ""i̇nternet'imi"", 'iptal']",1,2025-12-07 21:31:37
"['salla', 'topla', 'kazan', 'puan', 'yok', 'kullan']",1,2025-12-07 18:34:07
"['fiziki', 'kart', 'ayrı', 'turkcell', 'mağaza', 'ilan', 'oluş', 'dolayı', 'hesap', 'doğrula', 'iste', 'kimlik', 'oku', 'nbc', 'özellik', 'rağmen', 'selfie', 'çekim', 'sonra', 'hata', 'neden', 'anla', 'kart', 'neden', 'kullan', 'durum', 'önce', 'düzelt', 'sevin']",3,2025-12-07 14:50:53
